Index,Dates,Time,Score,Class
506,11-10-2020, 17:05:47,22.21,snoring
507,11-10-2020, 17:05:47,22.21,snoring
508,11-10-2020, 17:05:48,22.94,snoring
509,11-10-2020, 17:05:48,22.94,snoring
510,11-10-2020, 17:05:49,22.54,snoring
511,11-10-2020, 17:05:50,22.44,snoring
512,11-10-2020, 17:05:50,23.28,snoring
513,11-10-2020, 17:05:51,23.28,snoring
514,11-10-2020, 17:05:51,22.59,snoring
515,11-10-2020, 17:05:52,22.02,snoring
516,11-10-2020, 17:05:53,22.02,snoring
517,11-10-2020, 17:05:56,16.39,snoring
518,11-10-2020, 17:05:56,16.57,snoring
519,11-10-2020, 17:05:57,16.57,snoring
520,11-10-2020, 17:05:57,16.93,snoring
521,11-10-2020, 17:06:07,18.95,snoring
522,11-10-2020, 17:06:07,22.37,snoring
523,11-10-2020, 17:06:08,22.37,snoring
524,11-10-2020, 17:06:09,22.38,snoring
525,11-10-2020, 17:06:09,22.51,snoring
526,11-10-2020, 17:06:10,22.38,snoring
527,11-10-2020, 17:06:10,22.38,snoring
528,11-10-2020, 17:06:11,20,snoring
529,11-10-2020, 17:06:12,20.54,snoring
530,11-10-2020, 17:06:12,20.54,snoring
531,11-10-2020, 17:06:13,21.37,snoring
532,11-10-2020, 17:06:13,18.97,snoring
533,11-10-2020, 17:06:14,18.97,snoring
534,11-10-2020, 17:06:14,17.61,snoring
535,11-10-2020, 17:06:15,17.98,snoring
536,11-10-2020, 17:06:16,22.65,snoring
537,11-10-2020, 17:06:16,22.65,snoring
538,11-10-2020, 17:06:17,20.88,snoring
539,11-10-2020, 17:06:17,20.88,snoring
540,11-10-2020, 17:06:18,20.71,snoring
541,11-10-2020, 17:06:19,20.13,snoring
542,11-10-2020, 17:06:19,20.32,snoring
543,11-10-2020, 17:06:20,20.32,snoring
544,11-10-2020, 17:06:20,19.32,snoring
545,11-10-2020, 17:06:21,19.35,snoring
546,11-10-2020, 17:06:22,19.35,snoring
547,11-10-2020, 17:06:22,21.39,snoring
548,11-10-2020, 17:06:23,19,snoring
549,11-10-2020, 17:06:23,19,snoring
550,11-10-2020, 17:06:24,20.01,snoring
551,11-10-2020, 17:06:30,17.22,snoring
552,11-10-2020, 17:06:31,19.81,snoring
553,11-10-2020, 17:06:31,19.81,snoring
554,11-10-2020, 17:06:32,21.05,snoring
555,11-10-2020, 17:06:32,17.69,snoring
556,11-10-2020, 17:06:33,17.69,snoring
